
=== C Reference Spectrogram Dump (DSP only) ===
C_REF_BEGIN rows=49 cols=40
C_REF 349 2.835937500 0x40358000
C_REF 350 3.062500000 0x40440000
C_REF 351 2.906250000 0x403a0000
C_REF 352 3.359375000 0x40570000
C_REF 353 3.484375000 0x405f0000
C_REF 354 3.820312500 0x40748000
C_REF 355 3.406250000 0x405a0000
C_REF 356 3.390625000 0x40590000
C_REF 357 3.257812500 0x40508000
C_REF 358 3.421875000 0x405b0000
C_REF 359 3.539062500 0x40628000
C_REF 360 0.976562500 0x3f7a0000
C_REF 361 1.089843750 0x3f8b8000
C_REF 362 1.359375000 0x3fae0000
C_REF 363 1.449218750 0x3fb98000
C_REF 364 2.046875000 0x40030000
C_REF 365 2.156250000 0x400a0000
C_REF 366 1.394531250 0x3fb28000
C_REF 367 2.554687500 0x40238000
C_REF 368 2.226562500 0x400e8000
C_REF 369 2.625000000 0x40280000
C_REF 370 2.125000000 0x40080000
C_REF 371 2.257812500 0x40108000
C_REF 372 2.335937500 0x40158000
C_REF 373 2.257812500 0x40108000
C_REF 374 2.500000000 0x40200000
C_REF 375 1.875000000 0x3ff00000
C_REF 376 1.917968750 0x3ff58000
C_REF 377 2.695312500 0x402c8000
C_REF 378 2.617187500 0x40278000
C_REF 379 2.539062500 0x40228000
C_REF 380 2.570312500 0x40248000
C_REF 381 2.539062500 0x40228000
C_REF 382 2.226562500 0x400e8000
C_REF 383 3.367187500 0x40578000
C_REF 384 3.117187500 0x40478000
C_REF 385 2.656250000 0x402a0000
C_REF 386 3.453125000 0x405d0000
C_REF 387 3.359375000 0x40570000
C_REF 388 3.125000000 0x40480000
C_REF 389 2.875000000 0x40380000
C_REF 390 2.992187500 0x403f8000
C_REF 391 2.984375000 0x403f0000
C_REF 392 3.367187500 0x40578000
C_REF 393 3.265625000 0x40510000
C_REF 394 3.226562500 0x404e8000
C_REF 395 3.687500000 0x406c0000
C_REF 396 3.578125000 0x40650000
C_REF 397 3.546875000 0x40630000
C_REF 398 3.554687500 0x40638000
C_REF 399 3.406250000 0x405a0000
C_REF 400 1.585937500 0x3fcb0000
C_REF 401 1.914062500 0x3ff50000
C_REF 402 2.007812500 0x40008000
C_REF 403 1.933593750 0x3ff78000
C_REF 404 1.695312500 0x3fd90000
C_REF 405 1.828125000 0x3fea0000
C_REF 406 2.250000000 0x40100000
C_REF 407 2.109375000 0x40070000
C_REF 408 1.765625000 0x3fe20000
C_REF 409 2.601562500 0x40268000
C_REF 410 1.996093750 0x3fff8000
C_REF 411 2.406250000 0x401a0000
C_REF 412 2.593750000 0x40260000
C_REF 413 2.765625000 0x40310000
C_REF 414 2.515625000 0x40210000
C_REF 415 2.398437500 0x40198000
C_REF 416 2.164062500 0x400a8000
C_REF 417 2.289062500 0x40128000
C_REF 418 2.476562500 0x401e8000
C_REF 419 2.640625000 0x40290000
C_REF 420 2.968750000 0x403e0000
C_REF 421 2.664062500 0x402a8000
C_REF 422 2.625000000 0x40280000
C_REF 423 2.140625000 0x40090000
C_REF 424 2.359375000 0x40170000
C_REF 425 2.914062500 0x403a8000
C_REF 426 3.320312500 0x40548000
C_REF 427 3.539062500 0x40628000
C_REF 428 3.132812500 0x40488000
C_REF 429 2.648437500 0x40298000
C_REF 430 2.984375000 0x403f0000
C_REF 431 2.640625000 0x40290000
C_REF 432 3.234375000 0x404f0000
C_REF 433 3.750000000 0x40700000
C_REF 434 3.234375000 0x404f0000
C_REF 435 3.210937500 0x404d8000
